satya_partner_product_id,activity_name,product_cost_per_usage,product_cap_value,segment_type,last_price_update
1001,Musculação,50,500,Full Service Gym,2025-01-10
1002,Aulas de Personal Training,100,800,Full Service Gym,2025-01-15
1003,Aulas de Yoga,30,300,Studio,2025-01-20
1004,Natação,120,600,Full Service Gym,2023-05-10
1005,Aulas de Pilates,40,400,Studio,2025-01-25
1006,Aulas de Zumba,25,375,Studio,2025-01-28
1007,Treinamento de Força,60,600,Full Service Gym,2025-01-05
1008,Aulas de CrossFit,70,700,Full Service Gym,2025-01-10
1009,Aulas de Natação Avançada,80,800,Full Service Gym,2025-01-12
1010,Artes Marciais,50,250,Lutas,2025-01-18
1011,Aulas de Cardio,40,400,Full Service Gym,2025-01-22
1012,Pacote de Spa,150,1500,Wellness Center,2025-01-07
1013,Acesso ao Sauna,30,300,Wellness Center,2025-01-15
1014,Aulas de Nutrição,100,800,Wellness Center,2025-01-20
1015,Avaliação Física,60,600,Full Service Gym,2025-01-25
